Date,Open,High,Low,Close,Adj Close,Volume,Repaired?
2022-07-11,252.10333251953125,253.06333923339844,233.6266632080078,234.3433380126953,234.3433380126953,99241200,False
2022-07-12,236.84666442871094,239.77333068847656,228.3699951171875,233.07000732421875,233.07000732421875,87930900,False
2022-07-13,225.5,242.05999755859375,225.03334045410156,237.0399932861328,237.0399932861328,97954500,False
2022-07-14,234.89666748046875,238.65333557128906,229.3333282470703,238.31333923339844,238.31333923339844,78557400,False
2022-07-15,240.0,243.6233367919922,236.88999938964844,240.06666564941406,240.06666564941406,69683100,False
2022-07-18,244.93666076660156,250.51666259765625,239.60333251953125,240.54666137695312,240.54666137695312,82537500,False
2022-07-19,245.0,247.13999938964844,236.97666931152344,245.52999877929688,245.52999877929688,80890200,False
2022-07-20,246.78334045410156,250.663330078125,243.48333740234375,247.5,247.5,88864200,False
2022-07-21,255.10667419433594,273.26666259765625,254.86666870117188,271.7066650390625,271.7066650390625,142032300,False
2022-07-22,276.2200012207031,280.78668212890625,270.71331787109375,272.24334716796875,272.24334716796875,103472700,False
2022-07-25,272.2166748046875,274.14666748046875,267.3999938964844,268.4333190917969,268.4333190917969,64073400,False
2022-07-26,266.5133361816406,267.30999755859375,256.2633361816406,258.8599853515625,258.8599853515625,66820800,False
2022-07-27,263.80999755859375,275.9266662597656,261.7900085449219,274.82000732421875,274.82000732421875,88110000,False
2022-07-28,280.0666809082031,283.29998779296875,272.79998779296875,280.8999938964844,280.8999938964844,84723000,False
2022-07-29,280.70001220703125,298.32000732421875,279.1000061035156,297.1499938964844,297.1499938964844,95313000,False
2022-08-01,301.27667236328125,311.8766784667969,295.0,297.27667236328125,297.27667236328125,117042900,False
2022-08-02,294.0033264160156,307.8333435058594,292.6666564941406,300.586669921875,300.586669921875,95577600,False
2022-08-03,305.0,309.54998779296875,301.1499938964844,307.39666748046875,307.39666748046875,80091000,False
2022-08-04,311.0,313.6066589355469,305.0,308.6333312988281,308.6333312988281,72256200,False
2022-08-05,302.6700134277344,304.6066589355469,285.5433349609375,288.1700134277344,288.1700134277344,113172900,False
